case_id,unified_entity,later_classification,division_class,status,scientific_basis,context_attribution,key_source
HIST011,"Peptic ulcer disease","H. pylori-associated ulcers vs other etiologies",ETIOLOGIC_RECLASSIFICATION,ACCEPTED,"Culture, pathology, epidemiology, human evidence and eradication trials established bacterial causality for most ulcers.",SCIENCE_MAJOR_DOGMA_BARRIER,"Nobel Prize Physiology or Medicine 2005 press release"
HIST012,"AIDS-causing retroviral infection","HIV-1 vs HIV-2 infection",DISTINCT_DISEASE_AGENT,ACCEPTED,"Distinct viral genome/serology with reproducible geographic, transmission and progression differences.",SCIENCE_MAJOR_GLOBAL_HEALTH_CONTEXT,"PMID:3472076; HIV-2 natural-history reviews"
HIST013,"Epilepsy with persistent seizures despite treatment","Drug-resistant epilepsy",TREATMENT_RESPONSE_STATE,ACCEPTED_OPERATIONAL,"Failure of two adequate tolerated appropriately chosen/used drug schedules operationalized a clinically predictive resistance state.",OPERATIONAL_CONTEXT_MAJOR,"Kwan et al Epilepsia 2010 doi:10.1111/j.1528-1167.2009.02397.x"
HIST014,"Tuberculosis","Drug-susceptible vs MDR/RR-TB vs XDR-TB",TREATMENT_RESPONSE_STATE_WITH_OBJECTIVE_CAUSE,ACCEPTED,"Objective pathogen drug susceptibility/resistance markers define states requiring different regimens; resistance may be acquired or transmitted.",MIXED_INTRINSIC_RESISTANCE_AND_SYSTEM_CONTEXT,"WHO MDR/RR-TB definitions and surveillance"
HIST015,"Androgen-responsive prostate cancer","Castration-resistant prostate cancer",DISEASE_STAGE_TREATMENT_STATE,ACCEPTED,"Longitudinal progression despite castrate testosterone plus persistent androgen-receptor biology define a treatment-emergent state.",SCIENCE_TREATMENT_COEVOLUTION,"PMCID:PMC2883184; PMCID:PMC6357221"
HIST016,"Bronchogenic/lung carcinoma","Small-cell lung cancer vs non-small-cell lung cancer",DISTINCT_CLINICOPATHOLOGICAL_GROUP,ACCEPTED,"Reproducible pathology, dissemination pattern, biology and major differences in chemo/radiosensitivity and treatment strategy.",SCIENCE_MAJOR_TREATMENT_ENABLED,"PMID:21550554; PMID:8395998; NCI SCLC PDQ"
HIST017,"Primary/essential hypertension population","Primary aldosteronism as a secondary endocrine cause",DISTINCT_ETIOLOGIC_DISEASE,ACCEPTED,"Autonomous aldosterone biology, biochemical testing/localization and potential surgical cure establish a causal subgroup.",SCIENCE_MAJOR_TECH_ENABLED,"PMID:15555236; PMID:4299095"
HIST018,"Presenile/senile degenerative dementia","Presenile Alzheimer disease vs senile dementia",FAILED_AGE_SPLIT,MERGED_AFTER_FAILURE,"Age-based/anecdotal distinction failed large clinicopathological comparison; pathologies were not qualitatively different.",CONTEXT_AUTHORITY_MAJOR,"Amaducci et al Neurology 1986 PMID:3531918"
HIST019,"Pervasive developmental disorders","Autistic disorder/Asperger/PDD-NOS etc then merged into ASD",CONTESTED_MERGED_SUBTYPES,MERGED_WITH_CONTINUING_DEBATE,"Limited subtype reliability, overlapping symptoms and poor outcome prediction supported merger, while some subgroup differences remain debated.",MIXED_SCIENCE_NOSOLOGY_POLICY,"PMCID:PMC3671160; PMID:24531932"
HIST020,"Essential hypertension","Low-renin hypertension proposed as distinct entity",FAILED_OR_PARTIAL_PHYSIOLOGIC_SPLIT,NOT_VALIDATED_AS_SINGLE_DISTINCT_ENTITY,"Renin phenotype was assay/population/context dependent; basal distributions did not consistently reveal a separate disease and low-renin states have multiple causes.",MEASUREMENT_CONTEXT_MAJOR,"Thurston & Swales Lancet 1976 PMID:62162; PMID:29758100"
HIST021,"Small-cell lung cancer","Oat-cell/intermediate/other SCLC subtypes",FAILED_OVER_SUBTYPING,SIMPLIFIED_AFTER_POOR_REPRODUCIBILITY,"Different pathology criteria yielded contradictory clinical implications; poor reproducibility and unclear utility led to simplification.",SCIENCE_REPRODUCIBILITY_DOMINANT,"Hirsch et al Cancer 1988 PMID:2842029; PMCID:PMC4758976"
