record_id,study_family_id,branch,year,domain,design,finding,source_id,confidence
UMB04,TD_CBT_META_2024,B,2024,clinical_utility,Systematic review/meta-analysis RCTs,Transdiagnostic CBT is effective for depression/anxiety and often comparable to disorder-specific CBT.,PMID:38228727,HIGH
UMC01,ASD_ADHD_SHARED_DISTINCT,C,2022,genetics,Cross-disorder genetics,ASD and ADHD have shared loci plus differentiating loci with opposite effect directions.,PMID:36163277,HIGH
UMC02,ASD_UNIQUE_2024,C,2024,genetics,Genomic SEM,ASD-specific genetic pathways remain after removing shared ADHD liability.,PMID:39407327,HIGH
UMC03,ASD_ADHD_BOUNDARY_DRIFT_2026,C,2026,ascertainment,Population genetic cohort,"Genetic contribution among diagnosed ASD/ADHD cases changed by diagnosis year, consistent with boundary broadening.",PMID:42268594,HIGH
UMC04,ADHD_RARE_COMMON_2025,C,2025,etiology,Genome sequencing + polygenic scores,Rare pathogenic variants and common polygenic liability contribute partly independently to pediatric ADHD.,PMID:41076565,MODERATE
UMC05,TS_CROSS_ENDOPHENOTYPES,C,2016,cross_cutting,Discovery + independent replication,Tourette/OCD/ADHD symptoms form heritable cross-disorder symmetry and disinhibition phenotypes.,PMID:27809572,HIGH
UMD01,OCD_GWAS_2025,D,2025,genetics,Large GWAS meta-analysis,"OCD has robust own loci but shares genetic risk with anxiety, depression, anorexia and Tourette.",PMID:40360802,HIGH
UMD02,OCRD_HIERARCHY_2026,D,2026,dimensions,Clinical + community factor analysis,OCRDs fit separable compulsivity and grooming dimensions.,PMID:41997371,HIGH
UMD03,OCD_AN_BRAIN_2026,D,2026,molecular,Postmortem transcriptomics with replication/meta-analysis,Eating disorders and OCD show correlated cortical/striatal transcriptomic effects despite disorder-specific differences.,PMID:42295976,MODERATE_HIGH
UMD04,AN_METABOLIC_2026,D,2026,genetics_metabolic,Polygenic/metabolomic analyses,Anorexia has strong metabolic genetic architecture that is not reducible to compulsivity.,PMID:41404279,MODERATE_HIGH
UMD05,OCS_CONTINUUM_2024,D,2024,dimension,Population GWAS,"Obsessive-compulsive symptoms genetically correlate strongly with OCD, supporting an OCS continuum.",PMID:38548983,HIGH
UME01,EXT_GWAS_2026,E,2026,genetics,Multi-ancestry multivariate GWAS >4M,Large replicated externalizing factor with broad neural architecture supports disinhibition as a transdiagnostic liability.,PMID:41728329,HIGH
UME02,SUD_EXT_INT_2026,E,2026,genetics,Genomic SEM / local correlations,SUDs share strong externalizing liability but also internalizing and substance-specific genetic effects.,PMID:41646823,MODERATE_PREPRINT
UME03,SUD_SPECIFIC_2026,E,2026,genetics,Multivariate genetics 2.2M,Addiction risk contains broad externalizing and substance-specific pathways.,PMID:41987933,HIGH
UME04,BPD_GWAS_2025,E,2025,genetics,Large GWAS + replication,"BPD has heritable disorder signal but strongest correlations span PTSD, depression, ADHD, antisocial behavior, and self-harm.",PMID:40832388,MODERATE_PREPRINT
UME05,HITOP_EXTERNALIZING,E,2021,dimensions,Validity/utility review,Disinhibited and antagonistic externalizing spectra are supported across SUD and personality pathology.,PMID:34002506,HIGH
UMF01,AUTOIMMUNE_PSYCHOSIS_TESTING_2025,F,2025,immune_etiology,Prospective early/persistent psychosis cohort,Confirmed autoimmune psychosis was rare (~0.3%) in broad psychiatric services; targeted high-risk testing identified immunotherapy-responsive cases.,PMID:41341526,HIGH
UMF02,AE_FEP_2026,F,2026,immune_etiology,Prospective tertiary FEP cohort,"Autoimmune encephalitis was confirmed in a selected tertiary FEP cohort, showing context-dependent yield.",PMID:41308242,MODERATE_HIGH
UMF03,AUTOIMMUNE_TEST_UTILITY_2024,F,2024,testing,Clinical laboratory review,Phenotype-guided serum/CSF testing and confirmatory methods are required; positive serum alone can mislead.,PMID:38462203,HIGH
UMF04,SUBSTANCE_PSYCHOSIS_TRANSITION_2023,F,2023,toxic_exposure,Population registry,Substance-induced psychosis has substantial but incomplete transition to schizophrenia-spectrum illness.,PMID:37132221,HIGH
UMF05,MEDICAL_FEP_REVIEW,F,2019,medical_differential,Clinical review,"Medical causes of FEP include neurologic, infectious, autoimmune, metabolic and drug-related diseases; workup should be guided by history/exam/routine tests/red flags.",PMID:31421899,MODERATE
