query_id,batch,purpose,normalized_query,raw_query_status,result_count
Q023,4,GIST authoritative,"NCI gastrointestinal stromal tumor KIT PDGFRA classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q024,4,CML authoritative,"NCI chronic myeloid leukemia Philadelphia chromosome BCR ABL history",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q025,4,GIST primary/review,"NEJM GIST imatinib KIT history classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q026,4,CML specialty history,"ASH CML Philadelphia chromosome BCR ABL historical review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q027,5,Leprosy,"Ridley Jopling classification tuberculoid lepromatous spectrum clinicopathologic concordance",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q028,5,MOGAD,"MOG antibody associated disease distinct from MS AQP4 NMOSD review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q029,5,Prion,"human prion disease sporadic genetic acquired classification molecular subtypes",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q030,5,AAV,"ANCA vasculitis PR3 MPO genetics classification GPA MPA",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q031,5,RA,"seropositive seronegative rheumatoid arthritis distinct diseases heterogeneity review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q032,5,Autism,"autism DSM subtypes merger reliability outcome prediction review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q033,5,Narcolepsy,"narcolepsy type 1 type 2 hypocretin biomarker residual category review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q034,6,Narcolepsy 2026,"narcolepsy type 2 repeat MSLT diagnostic stability 2026",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q035,6,Narcolepsy measurement,"multiple sleep latency test repeatability narcolepsy type 2 instability",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q036,6,Narcolepsy biology,"narcolepsy type 1 hypocretin orexin deficiency autoimmune biology review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q037,6,MODY,"MODY genetic diagnosis changes treatment sulfonylurea monogenic diabetes review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q038,6,MOGAD criteria,"2023 international diagnostic criteria MOGAD live cell based assay",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q039,7,Prion,"sporadic genetic acquired prion disease etiologic classification review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q040,7,Burkitt,"WHO Burkitt lymphoma EBV positive negative endemic sporadic classification 2022",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q041,7,NSCLC,"EGFR ALK ROS1 KRAS driver defined NSCLC targeted treatment guideline review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q042,8,Ovarian cancer,"low grade high grade serous ovarian carcinoma distinct disease molecular pathogenesis",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q043,8,Ovarian WHO,"WHO ovarian low grade high grade serous carcinoma classification molecular",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q044,9,Parkinsonism,"Parkinson disease atypical parkinsonism historical classification biomarker distinction",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q045,9,AAV,"PR3 MPO ANCA classification stronger genetics than GPA MPA",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q046,9,Axial SpA,"non radiographic radiographic axial spondyloarthritis continuum progression classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q047,9,COPD,"COPD chronic bronchitis emphysema phenotypes endotypes historical classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q048,9,IBS,"IBS C D M U subtype stability changes over time Rome classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q049,10,Type 5 diabetes,"IDF type 5 diabetes 2025 malnutrition related diabetes recognition",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q050,10,Type 5 diabetes evidence,"malnutrition related type 5 diabetes distinct physiology undernutrition low income countries",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q051,11,Type 5 history,"malnutrition related diabetes WHO 1985 removed 1999 classification history",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q052,11,Type 5 origin,"malnutrition diabetes 1955 Jamaica historical description type 5",RECONSTRUCTED_FROM_RUN_CONTEXT,
