case_id,unified_entity,later_classification,division_class,status,scientific_basis,context_attribution,key_source
HIST011,"Peptic ulcer disease","H. pylori-associated ulcers vs other etiologies",ETIOLOGIC_RECLASSIFICATION,ACCEPTED,"Culture, pathology, epidemiology, human evidence and eradication trials established bacterial causality for most ulcers.",SCIENCE_MAJOR_DOGMA_BARRIER,"Nobel Prize Physiology or Medicine 2005 press release"
HIST012,"AIDS-causing retroviral infection","HIV-1 vs HIV-2 infection",DISTINCT_DISEASE_AGENT,ACCEPTED,"Distinct viral genome/serology with reproducible geographic, transmission and progression differences.",SCIENCE_MAJOR_GLOBAL_HEALTH_CONTEXT,"PMID:3472076; HIV-2 natural-history reviews"
HIST013,"Epilepsy with persistent seizures despite treatment","Drug-resistant epilepsy",TREATMENT_RESPONSE_STATE,ACCEPTED_OPERATIONAL,"Failure of two adequate tolerated appropriately chosen/used drug schedules operationalized a clinically predictive resistance state.",OPERATIONAL_CONTEXT_MAJOR,"Kwan et al Epilepsia 2010 doi:10.1111/j.1528-1167.2009.02397.x"
HIST014,"Tuberculosis","Drug-susceptible vs MDR/RR-TB vs XDR-TB",TREATMENT_RESPONSE_STATE_WITH_OBJECTIVE_CAUSE,ACCEPTED,"Objective pathogen drug susceptibility/resistance markers define states requiring different regimens; resistance may be acquired or transmitted.",MIXED_INTRINSIC_RESISTANCE_AND_SYSTEM_CONTEXT,"WHO MDR/RR-TB definitions and surveillance"
HIST015,"Androgen-responsive prostate cancer","Castration-resistant prostate cancer",DISEASE_STAGE_TREATMENT_STATE,ACCEPTED,"Longitudinal progression despite castrate testosterone plus persistent androgen-receptor biology define a treatment-emergent state.",SCIENCE_TREATMENT_COEVOLUTION,"PMCID:PMC2883184; PMCID:PMC6357221"
HIST016,"Bronchogenic/lung carcinoma","Small-cell lung cancer vs non-small-cell lung cancer",DISTINCT_CLINICOPATHOLOGICAL_GROUP,ACCEPTED,"Reproducible pathology, dissemination pattern, biology and major differences in chemo/radiosensitivity and treatment strategy.",SCIENCE_MAJOR_TREATMENT_ENABLED,"PMID:21550554; PMID:8395998; NCI SCLC PDQ"
HIST017,"Primary/essential hypertension population","Primary aldosteronism as a secondary endocrine cause",DISTINCT_ETIOLOGIC_DISEASE,ACCEPTED,"Autonomous aldosterone biology, biochemical testing/localization and potential surgical cure establish a causal subgroup.",SCIENCE_MAJOR_TECH_ENABLED,"PMID:15555236; PMID:4299095"
HIST018,"Presenile/senile degenerative dementia","Presenile Alzheimer disease vs senile dementia",FAILED_AGE_SPLIT,MERGED_AFTER_FAILURE,"Age-based/anecdotal distinction failed large clinicopathological comparison; pathologies were not qualitatively different.",CONTEXT_AUTHORITY_MAJOR,"Amaducci et al Neurology 1986 PMID:3531918"
HIST019,"Pervasive developmental disorders","Autistic disorder/Asperger/PDD-NOS etc then merged into ASD",CONTESTED_MERGED_SUBTYPES,MERGED_WITH_CONTINUING_DEBATE,"Limited subtype reliability, overlapping symptoms and poor outcome prediction supported merger, while some subgroup differences remain debated.",MIXED_SCIENCE_NOSOLOGY_POLICY,"PMCID:PMC3671160; PMID:24531932"
HIST020,"Essential hypertension","Low-renin hypertension proposed as distinct entity",FAILED_OR_PARTIAL_PHYSIOLOGIC_SPLIT,NOT_VALIDATED_AS_SINGLE_DISTINCT_ENTITY,"Renin phenotype was assay/population/context dependent; basal distributions did not consistently reveal a separate disease and low-renin states have multiple causes.",MEASUREMENT_CONTEXT_MAJOR,"Thurston & Swales Lancet 1976 PMID:62162; PMID:29758100"
HIST021,"Small-cell lung cancer","Oat-cell/intermediate/other SCLC subtypes",FAILED_OVER_SUBTYPING,SIMPLIFIED_AFTER_POOR_REPRODUCIBILITY,"Different pathology criteria yielded contradictory clinical implications; poor reproducibility and unclear utility led to simplification.",SCIENCE_REPRODUCIBILITY_DOMINANT,"Hirsch et al Cancer 1988 PMID:2842029; PMCID:PMC4758976"
HIST022,"Multiple sclerosis/opticospinal demyelinating disease","Aquaporin-4-IgG neuromyelitis optica spectrum disorder vs MS",DISTINCT_AUTOIMMUNE_DISEASE,ACCEPTED,"AQP4-IgG, distinct immunopathogenesis, clinical/radiological phenotype, prognosis and treatment response established NMOSD as distinct from MS.",SCIENCE_MAJOR_ASSAY_ENABLED,"PMID:24272588; PMCID:PMC3599417; PMID:37022481"
HIST023,"MS/NMOSD-like inflammatory demyelination","MOG antibody-associated disease",DISTINCT_AUTOIMMUNE_DISEASE,ACCEPTED_EMERGING,"Reproducible live cell-based MOG-IgG assays plus distinct phenotype, course and treatment outcomes support separation from MS and AQP4-NMOSD, while criteria remain under continuing validation.",SCIENCE_MAJOR_ASSAY_ENABLED,"PMID:36706773; PMID:31773369; PMID:40494723"
HIST024,"Type 1/Type 2 diabetes phenotype","Monogenic/MODY forms",DISTINCT_ETIOLOGIC_SUBTYPES,ACCEPTED,"Single-gene causes produce reproducible beta-cell defects, familial patterns and gene-specific treatment implications; genetic diagnosis can reverse T1/T2 misclassification.",SCIENCE_MAJOR_SEQUENCING_ENABLED_ACCESS_SENSITIVE,"PMID:21521318; PMID:31914718"
HIST025,"Childhood sarcoma/lymphoma and non-Hodgkin lymphoma categories","Burkitt lymphoma",DISTINCT_MOLECULAR_CLINICOPATHOLOGIC_DISEASE,ACCEPTED,"Distinctive epidemiology, morphology, germinal-center phenotype, MYC rearrangement and EBV associations established a reproducible lymphoma entity with distinctive treatment needs.",CONTEXT_MAJOR_FOR_DISCOVERY_SCIENCE_VALIDATED,"PMID:18052871; PMID:2069232; PMID:39662784"
HIST026,"Burkitt lymphoma","Endemic/sporadic/immunodeficiency-associated subtypes later challenged by EBV-positive vs EBV-negative biology",REVISED_CONTEXT_BASED_SUBTYPES,REVISED,"Geographic/clinical epidemiologic categories were useful historically but molecular data show EBV status better captures biological heterogeneity across geography and immune status.",GEOGRAPHY_CONTEXT_CLASSIFICATION_REVISED,"WHO-HAEM5 doi:10.1038/s41375-022-01620-2; PMID:36522349"
HIST027,"Leprosy/Hansen disease","Ridley-Jopling tuberculoid-to-lepromatous immunological spectrum",DIMENSION_OR_SPECTRUM,ACCEPTED,"Clinical and histological manifestations track host cell-mediated immunity along an ordered spectrum; high clinicopathological concordance supports a continuum rather than separate diseases.",SCIENCE_MAJOR_GLOBAL_HEALTH_OPERATIONAL,"PMID:5950347; PMID:4549496; PMID:11898465"
HIST028,"Rheumatoid arthritis","Seropositive vs seronegative RA",CONTESTED_BIOLOGICAL_SUBTYPES,PARTIALLY_SUPPORTED_NOT_DISTINCT_DISEASES,"Serotypes differ in autoimmunity, genetics and some prognosis, but seronegative RA remains heterogeneous and evidence is insufficient to treat the two as clean separate diseases.",SCIENCE_MEASUREMENT_MIXED,"PMID:25481556; PMID:27916980; PMID:24003679"
HIST029,"Sepsis continuum","Sepsis/severe sepsis/septic shock revised to Sepsis-3 sepsis plus septic-shock subset",OPERATIONAL_SEVERITY_STATE,REVISED_OPERATIONAL,"SIRS-based continuum had inadequate specificity and sensitivity; severe sepsis was judged redundant and definitions were rebuilt around organ dysfunction and higher-risk shock.",CONSENSUS_EHR_OPERATIONAL_CONTEXT,"PMID:26903338"
HIST030,"Heart failure","HFrEF/HFmrEF/HFpEF and dynamic EF phenotypes",OPERATIONAL_PHENOTYPE_DIMENSION,ACCEPTED_WITH_BOUNDARY_LIMITS,"EF categories predict some treatment differences and standardize care, but LVEF is continuous, cut-points are partly arbitrary and HFpEF is mechanistically heterogeneous.",SCIENCE_TREATMENT_MEASUREMENT_CONTEXT,"PMID:35022210; PMID:29471985; PMID:42370864"
HIST031,"Papillary renal cell carcinoma","Histologic type 1 vs type 2 pRCC",FAILED_OR_REVISED_SUBTYPE,ABANDONED_AS_BINARY_SUBTYPING,"Initial morphology correlated with molecular differences, but type 2 proved molecularly heterogeneous and WHO 2022 eliminated the type 1/2 binary subcategorization.",SCIENCE_TECH_CORRECTION,"PMID:15994935; PMID:26536169; PMID:35596618"
HIST032,"Narcolepsy","Narcolepsy type 1 vs type 2",MIXED_VALIDITY_SUBTYPES,MIXED,"Type 1 has strong orexin/hypocretin biological coherence; type 2 lacks an equivalent positive biomarker and shows materially lower diagnostic stability on repeated MSLT testing.",MEASUREMENT_RESIDUAL_CATEGORY_CONTEXT,"Sleep 2026 doi:10.1016/j.sleep.2026.108876; PMCID:PMC11781994"
HIST033,"Non-small-cell lung cancer","EGFR-, ALK-, ROS1-, KRAS- and other driver-defined subgroups",BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,ACCEPTED,"Actionable genomic alterations define reproducible tumor biology and produce large mechanism-aligned treatment differences with targeted inhibitors.",SCIENCE_MAJOR_SEQUENCING_COMMERCIAL_REGULATORY,"PMID:40133478; NCI precision-oncology resources"
HIST034,"Human prion disease","Sporadic, genetic and acquired prion diseases with molecular/pathological subtypes",ETIOLOGIC_DISEASE_FAMILY,ACCEPTED,"Distinct sporadic, PRNP-genetic and acquired etiologies coexist with reproducible clinicopathological and prion-protein subtypes.",SCIENCE_MAJOR_PUBLIC_HEALTH_SURVEILLANCE,"PMID:24234356; PMID:31533183; PMID:39665904"
HIST035,"Functional psychosis","Schizophrenia vs bipolar/affective psychosis Kraepelinian dichotomy",CONTESTED_DISEASE_BOUNDARY,CONTESTED,"Clinical utility of the dichotomy persists, but genetics, neurophysiology, symptoms and treatment response overlap substantially and challenge a strict binary disease boundary.",NOSOLOGY_AUTHORITY_AND_CLINICAL_UTILITY_CONTEXT,"PMID:19954751"
HIST036,"Serous ovarian carcinoma","Low-grade vs high-grade serous carcinoma",DISTINCT_BIOLOGICAL_SUBTYPES_OR_DISEASES,ACCEPTED,"Reproducible morphology, different precursor pathways, KRAS/BRAF/ERBB2 vs TP53-dominant molecular profiles, course and chemotherapy sensitivity support biological separation.",SCIENCE_MAJOR_PATHOLOGY_MOLECULAR_ENABLED,"PMID:19700937; PMID:38950921"
HIST037,"ANCA-associated vasculitis","GPA/MPA/EGPA clinical entities versus PR3-ANCA/MPO-ANCA cross-cutting biology",EVOLVING_ENDOTYPE_RECLASSIFICATION,CONTESTED_EVOLVING,"Genetic, prognostic and treatment-relevant differences often align more strongly with PR3/MPO specificity than traditional clinicopathologic labels, showing that accepted categories can be cross-cut by stronger biology.",SCIENCE_MAJOR_ASSAY_AND_NOSOLOGY_CONTEXT,"PMID:36109667; PMID:31867013"
HIST038,"Axial spondyloarthritis","Non-radiographic vs radiographic axial SpA",DISEASE_STAGE_OR_SPECTRUM,ACCEPTED_WITH_CONTROVERSY,"The categories represent an imaging-defined continuum/stage framework; some patients progress while many do not, so absence of transition does not imply separate diseases.",IMAGING_TECH_AND_TREATMENT_CONTEXT,"PMID:36182035; PMID:35279103"
HIST039,"Irritable bowel syndrome","IBS-C/IBS-D/IBS-M/IBS-U stool-pattern subtypes",OPERATIONAL_SYMPTOM_SUBTYPES,ACCEPTED_OPERATIONAL_WITH_INSTABILITY,"Subtypes help communication and treatment selection but symptom/stool patterns can change over time and do not establish distinct biological diseases.",CONSENSUS_SYMPTOM_MEASUREMENT_CONTEXT,"PMID:22176384; PMID:41447016; PMID:31851972"
HIST040,"Diabetes in lean undernourished young people","Malnutrition-related/type 5 diabetes",CONTEXT_SENSITIVE_EMERGING_DISTINCT_ENTITY,RECOGNIZED_BUT_SCIENTIFICALLY_CONTESTED,"Described since 1955, classified by WHO in 1985, removed in 1999, and re-recognized by IDF in 2025; newer metabolic studies suggest impaired insulin secretion without typical T1 autoimmunity or T2 insulin resistance, but diagnostic and causal uncertainties remain.",CONTEXT_MAJOR_RESEARCH_NEGLECT_LMIC_SCIENCE_EMERGING,"PMID:40975084; PMID:40544552; PMCID:PMC9184261; IDF 2025 Type 5 Diabetes"
