case_id,context_factor,evidence_directness,effect_on_discovery_or_adoption,scientific_validity_role,control_judgment
HIST028,"Serology availability and evolving ACPA/RF testing",DIRECT_FOR_MEASUREMENT,"Created practical serotypes but negative group remained heterogeneous","Absence of marker is not positive disease definition",SCIENCE_MEASUREMENT_MIXED
HIST029,"International consensus, ICU datasets and EHR-era prognostic modeling",DIRECT,"Definitions were rebuilt for operational validity and mortality-risk discrimination","Consensus changes an operational category, not underlying infection biology",CONSENSUS_EHR_OPERATIONAL_CONTEXT
HIST030,"Echocardiographic LVEF availability, trial eligibility, treatment-label thresholds and guideline harmonization",DIRECT,"Cut-points organize trials/treatment despite continuous measurement","Thresholds are operational unless natural discontinuity shown",SCIENCE_TREATMENT_MEASUREMENT_CONTEXT
HIST031,"Modern molecular RCC taxonomy and WHO classification revision",DIRECT,"Molecular data exposed heterogeneity of former type-2 bucket and drove abandonment of binary scheme","Technology corrected over-splitting",SCIENCE_TECH_CORRECTION
HIST032,"MSLT criteria, orexin testing availability and diagnostic convention",DIRECT,"Type-1 biomarker strengthened one group; type-2 remained residual and less stable","Residual definition is a scientific warning, not a separate entity proof",MEASUREMENT_RESIDUAL_CATEGORY_CONTEXT
HIST033,"High-throughput sequencing, targeted-drug development, companion diagnostics and regulatory approvals",DIRECT,"Rapidly multiplied actionable NSCLC subgroups","Commercial/regulatory acceleration does not substitute for driver biology",SCIENCE_MAJOR_SEQUENCING_COMMERCIAL_REGULATORY
HIST034,"Prion surveillance, public-health crises and molecular typing",DIRECT,"Surveillance and crises increased recognition of acquired forms and subtypes","Etiology/pathology establish categories",SCIENCE_MAJOR_PUBLIC_HEALTH_SURVEILLANCE
HIST035,"Kraepelinian authority, DSM/ICD utility and clinical service organization",DIRECT_FOR_NOSOLOGY,"Preserved binary psychosis categories despite overlapping biology","Clinical utility and authority do not prove categorical disease boundary",NOSOLOGY_AUTHORITY_AND_CLINICAL_UTILITY_CONTEXT
HIST036,"Specialist pathology review, molecular profiling and differential therapeutic development",DIRECT_FOR_TECH,"Clarified two-pathway serous carcinoma model","Convergent morphology/molecular/course evidence validates split",SCIENCE_MAJOR_PATHOLOGY_MOLECULAR_ENABLED
HIST037,"ANCA assay availability and traditional clinicopathologic nomenclature",DIRECT,"New biology cross-cuts older GPA/MPA labels, creating competing classification axes","Shows established labels can be superseded by stronger biology",SCIENCE_MAJOR_ASSAY_AND_NOSOLOGY_CONTEXT
HIST038,"MRI access, biologic-treatment trials and classification criteria",DIRECT,"Imaging created non-radiographic/radiographic categories and influenced eligibility","Continuum/stage interpretation required; imaging threshold is not separate-disease proof",IMAGING_TECH_AND_TREATMENT_CONTEXT
HIST039,"Rome consensus, symptom diaries and treatment-selection needs",DIRECT,"Created useful stool-pattern subtypes despite within-person transitions","Operational utility does not imply distinct IBS diseases",CONSENSUS_SYMPTOM_MEASUREMENT_CONTEXT
HIST040,"Longstanding concentration in undernourished LMIC populations; weak research investment; WHO 1985 inclusion, 1999 removal, IDF 2025 re-recognition; modern metabolic methods",DIRECT_FOR_ADOPTION_HISTORY_AND_RESEARCH_ASYMMETRY,"Limited opportunity plausibly contributed to sparse mechanistic evidence and unstable international recognition; renewed methods increased attention","Research neglect weakens negative inference but does not create positive evidence; scientific distinctness remains contested",CONTEXT_MAJOR_RESEARCH_NEGLECT_LMIC_SCIENCE_EMERGING
