record_id,study_family_id,year,domain,design,timing,trd_definition,finding,source_id,higher_confidence_eligible,trajectory_state,temporality_role,adequacy_verified,adherence_assessed,pseudoresistance_vulnerability,endotype_scope,endotype_candidate,causal_alternatives
DEP020,RAISON_INFLIXIMAB,2013,inflammation,Randomized placebo-controlled trial,T4,Established TRD,No overall infliximab benefit; exploratory baseline-CRP treatment interaction suggests possible inflammatory subgroup.,PMID:22945416,yes,MULTIPLE_FAILURES,ESTABLISHED_TRD_CORRELATE,YES,UNKNOWN,UNKNOWN,TRD_ENRICHMENT_ONLY,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
DEP021,HUMMAD_META,2026,inflammation,Meta-analysis,mixed,Antidepressant response/nonresponse,"Pooled inflammatory association, but variable thresholds/confounding and study-family overlap; no biomarker-guided prospective trials.",PMID:42205644,no,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CROSS_CUTTING_MDD_TRD,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
DEP022,INFLAMMATION_UMBRELLA,2026,inflammation,Umbrella review,mixed,MDD treatment response,"Meta-analytic inflammatory signals exist, but evidence does not yet establish routine biomarker-guided treatment.",PMID:42252042,yes,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MDD_WIDE,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
DEP023,SIRES_TRANSCRIPTOME,2025,omics,Cross-sectional blood transcriptomics,T4-T5,TRD vs non-resistant MDD,"Large expression/immune-epigenetic differences reported; discovery-stage, treatment-exposed and not prospectively validated.",PMID:40930269,no,ADVANCED_INTERVENTION,POST_TREATMENT_OR_CONSEQUENCE_UNCERTAIN,UNKNOWN,UNKNOWN,HIGH,TRD_ENRICHMENT_ONLY,MULTIOMIC_MOLECULAR,severity|chronicity|treatment_exposure|comorbidity|selection
DEP024,UK_BURDEN_110K,2024,burden,"Population longitudinal cohort N=110,406",T4,EHR-defined TRD,"TRD associated with longer illness, greater comorbidity, utilization and ~1.5x healthcare costs.",PMID:39550927,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP025,CLAIMS_PREDICTORS,2018,clinical_context,"Retrospective incident cohort N=230,801",T2-T4,Medication-pattern TRD within 1 year,Baseline clinical/health-service factors predicted later medication-defined TRD; definition partly reflects care pathway.,PMID:29786922,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,UNKNOWN,UNKNOWN,HIGH,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP026,HEALTHSYSTEM_INCIDENT_TRD,2020,clinical_context,Health-system prediction cohort,T2-T4,Incident treatment resistance,"Health utilization, provider specialty, prescriptions and untreated duration predicted TRD; transition often prolonged, suggesting care-system effects.",PMID:32715964,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,UNKNOWN,UNKNOWN,HIGH,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP027,TRD_TRAJECTORIES,2025,longitudinal,Claims+EHR longitudinal study,T2-T4,Third-line treatment within 2 years,Treatment-line trajectories identify incident TRD as a longitudinal treatment-course state.,PMID:40065240,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,PARTIAL,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP028,TRD_NMA,2025,treatment,Systematic review/network meta-analysis 69 RCTs,T4-T6,>=2 antidepressant failures,Multiple mechanistically different treatments improve TRD outcomes; treatment efficacy validates care pathway but not one pathology.,PMID:39739012,yes,ADVANCED_INTERVENTION,POST_TREATMENT_OR_CONSEQUENCE_UNCERTAIN,YES,UNKNOWN,HIGH,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP029,DTD_CONSENSUS,2020,definition_context,International consensus,T4,Difficult-to-treat depression,"Multidimensional barriers (patient, illness, treatment) favored over simple resistance in complex cases; useful for service provision.",PMID:32217227,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,UNKNOWN,PARTIAL,HIGH,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP030,TRLLD_DELPHI,2026,definition_context,European late-life Delphi,T4,Age >=65 plus 2 adequate failures,Age-adapted operational definition/staging highlights jurisdiction and population-specific classification needs.,PMID:42227327,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,YES,UNKNOWN,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP031,ANTONIOU_EW_MSM,2026,longitudinal,Longitudinal tertiary-care cohort N=267,T2-T6,Episode-wide Maudsley staging plus categorical remission/TRD outcomes,Episode-wide dimensional resistance incorporated episode duration severity failed antidepressants augmentation and ECT and discriminated categorical outcomes; supports graded trajectory/stage representation.,PMID:41756573;DOI:10.3389/fpsyt.2026.1769246,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,PARTIAL,UNKNOWN,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,baseline_severity|episode_duration|treatment_exposure
DEP032,TANG_MDD_MULTIOMICS,2025,endotype_discovery,MDD neuroimaging clustering with multi-omics N=807 total,mixed,MDD-wide; not selected by TRD,"Three neuroimaging MDD subtypes showed different multi-omic patterns; one inflammation-linked subtype and one genetic/synaptic subtype. Proof-of-concept, not yet externally validated as treatment taxonomy.",DOI:10.1038/s41398-025-03286-7,yes,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,LOW,MDD_WIDE,NEUROIMAGING_MULTIOMIC,medication_status|severity|site|clustering_instability
DEP033,MA_METABOLOMIC_SUBTYPES,2025,endotype_discovery,Metabolomic subtype discovery with independent Whitehall II validation,mixed,Depression/MDD-wide; not selected by TRD,Three metabolomic depression subtypes were identified with independent cohort validation of subtype-specific models; treatment-resistance mapping remains unestablished.,DOI:10.1371/journal.pdig.0001125,yes,MIXED_OR_UNKNOWN,PREDISPOSING_OR_BASELINE,UNKNOWN,UNKNOWN,LOW,MDD_WIDE,METABOLIC,diet|BMI|medication|medical_comorbidity|cohort_selection
DEP034,ZENG_MULTIOMICS_RESPONSE,2026,endotype_treatment_response,Exploratory MDD multi-omics subtype study N=134; 83 multi-omics,T2,MDD before 8-week antidepressant outcome; not TRD-selected,"Three immune-inflammatory-metabolic subtypes differed in 8-week antidepressant response; MoS2 had poorer response, but independent external validation is required.",PMID:41740868;DOI:10.1016/j.bbi.2026.106515,yes,FIRST_LINE,PRE_RESISTANCE_PREDICTOR,PARTIAL,UNKNOWN,MODERATE,MDD_WIDE,IMMUNOMETABOLIC,sample_size|treatment_heterogeneity|baseline_severity|metabolic_comorbidity
DEP035,HE_IMMUNE_SKIN_MDD,2026,endotype_discovery,Human systemic immune profiling with cross-disease computational comparison,mixed,MDD-wide; not selected by TRD,"MDD shared systemic immune abnormalities with inflammatory skin disease including a type-2/Th2-related signal, suggesting a possible immune subgroup and repurposing hypothesis; not a validated TRD classifier.",DOI:10.1038/s41380-025-03383-5,yes,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,LOW,MDD_WIDE,TYPE2_IMMUNE,comorbid_inflammation|medication|cross_sectional_state|selection
